shared_eligible_queries,both_positive_count,both_positive_mean_qa_f1,both_positive_qa_positive_rate,both_positive_qa_strong_rate,lhs_only_count,lhs_only_mean_qa_f1,lhs_only_qa_positive_rate,lhs_only_qa_strong_rate,rhs_only_count,rhs_only_mean_qa_f1,rhs_only_qa_positive_rate,rhs_only_qa_strong_rate,both_negative_count,both_negative_mean_qa_f1,both_negative_qa_positive_rate,both_negative_qa_strong_rate,rhs_minus_lhs_mean_qa_f1,rhs_minus_lhs_qa_positive_rate,rhs_minus_lhs_qa_strong_rate,dataset,run_id,system_label,parser_max_facts,lhs_mode,rhs_mode,lhs_label,rhs_label,metric_key,metric_label
942,203,0.18188826376172373,0.5172413793103449,0.13793103448275862,21,0.21267056530214423,0.38095238095238093,0.23809523809523808,0,,,,718,0.11253280665051768,0.362116991643454,0.07381615598885793,,,,LoCoMo,20260313T085204Z_ollama_full_warm_facts8,ollama / all-minilm,8,source_family,canonical,Source,Canonical,top1,Top1
1510,1129,0.15456647818115177,0.4508414526129318,0.10806023029229407,0,,,,134,0.03603812260248633,0.22388059701492538,0.007462686567164179,247,0.0750233648239433,0.2793522267206478,0.048582995951417005,,,,LoCoMo,20260314T044224Z_locomo_ollama_bge_m3_full,ollama / bge-m3,5,raw_turn,source_family,Raw,Source,hit_at_k,Hit@K
1510,51,0.3528691030466663,0.6274509803921569,0.39215686274509803,0,,,,167,0.15534367780496197,0.47305389221556887,0.09580838323353294,1292,0.11913832427086601,0.3846749226006192,0.07662538699690402,,,,LoCoMo,20260314T044224Z_locomo_ollama_bge_m3_full,ollama / bge-m3,5,raw_turn,source_family,Raw,Source,top1,Top1
963,592,0.156263120404414,0.4543918918918919,0.1097972972972973,125,0.13634355085574898,0.416,0.088,134,0.03603812260248633,0.22388059701492538,0.007462686567164179,112,0.09116045507694952,0.29464285714285715,0.0625,-0.10030542825326265,-0.1921194029850746,-0.08053731343283582,LoCoMo,20260314T044224Z_locomo_ollama_bge_m3_full,ollama / bge-m3,5,raw_turn,canonical,Raw,Canonical,hit_at_k,Hit@K
963,0,,,,47,0.35541158096819775,0.6170212765957447,0.40425531914893614,167,0.15534367780496197,0.47305389221556887,0.09580838323353294,749,0.10940327374472535,0.3684913217623498,0.06542056074766354,-0.20006790316323578,-0.1439673843801758,-0.3084469359154032,LoCoMo,20260314T044224Z_locomo_ollama_bge_m3_full,ollama / bge-m3,5,raw_turn,canonical,Raw,Canonical,top1,Top1
963,726,0.13407283155392047,0.4118457300275482,0.09090909090909091,125,0.13634355085574898,0.416,0.088,0,,,,112,0.09116045507694952,0.29464285714285715,0.0625,,,,LoCoMo,20260314T044224Z_locomo_ollama_bge_m3_full,ollama / bge-m3,5,source_family,canonical,Source,Canonical,hit_at_k,Hit@K
963,167,0.15534367780496197,0.47305389221556887,0.09580838323353294,47,0.35541158096819775,0.6170212765957447,0.40425531914893614,0,,,,749,0.10940327374472535,0.3684913217623498,0.06542056074766354,,,,LoCoMo,20260314T044224Z_locomo_ollama_bge_m3_full,ollama / bge-m3,5,source_family,canonical,Source,Canonical,top1,Top1
1533,1092,0.1619764248666039,0.4606227106227106,0.1163003663003663,0,,,,162,0.043772268538156966,0.25308641975308643,0.012345679012345678,279,0.06228532914759486,0.25089605734767023,0.03942652329749104,,,,LoCoMo,20260314T052424Z_locomo_ollama_mxbai_full,ollama / mxbai-embed-large,5,raw_turn,source_family,Raw,Source,hit_at_k,Hit@K
1533,19,0.20815635580178515,0.3684210526315789,0.21052631578947367,0,,,,190,0.17485382348439996,0.5052631578947369,0.13157894736842105,1324,0.1239952968787175,0.3859516616314199,0.08383685800604229,,,,LoCoMo,20260314T052424Z_locomo_ollama_mxbai_full,ollama / mxbai-embed-large,5,raw_turn,source_family,Raw,Source,top1,Top1
899,568,0.16966611131060327,0.4735915492957746,0.12852112676056338,64,0.13891340602229726,0.390625,0.0625,162,0.043772268538156966,0.25308641975308643,0.012345679012345678,105,0.05450359338986454,0.22857142857142856,0.02857142857142857,-0.0951411374841403,-0.13753858024691357,-0.05015432098765432,LoCoMo,20260314T052424Z_locomo_ollama_mxbai_full,ollama / mxbai-embed-large,5,raw_turn,canonical,Raw,Canonical,hit_at_k,Hit@K
